Image_Index, Avg_Start_Offset, Avg_End_Offset
0, 41.699, 14.884
1, 20.585, 41.440
2, 15.828, 5.955
3, 32.167, 6.294
4, 3.890, 30.939
5, 6.954, 17.003
6, 30.492, 92.340
7, 81.470, 17.211
8, 44.792, 9.637
9, 1.504, 1.613
10, 76.598, 61.262
11, 30.622, 21.991
12, 1.287, 1.828
13, 48.950, 58.656
14, 3.136, 1.757
15, 37.986, 29.734
16, 38.155, 34.250
17, 63.666, 56.429
18, 24.979, 22.059
19, 40.685, 46.068
20, 59.116, 9.814
21, 56.355, 69.404
22, 28.640, 48.302
23, 45.404, 47.164
24, 18.825, 19.442
25, 30.517, 13.728
26, 1.341, 1.039
27, 28.866, 22.764
28, 8.684, 69.787
29, 6.388, 5.354
30, 3.793, 7.717
31, 5.396, 3.255
32, 5.670, 0.678
33, 4.217, 3.159
34, 18.070, 25.025
35, 20.168, 13.396
36, 0.775, 7.247
37, 0.904, 0.819
38, 6.559, 11.309
39, 19.789, 20.756
40, 18.727, 19.286
41, 8.009, 12.120
42, 7.038, 15.546
43, 6.648, 14.816
44, 8.901, 1.790
45, 3.682, 4.859
46, 2.163, 16.657
47, 15.720, 8.348
48, 10.966, 17.785
49, 24.683, 19.684
50, 21.638, 31.673
51, 83.782, 27.913
52, 15.203, 10.986
53, 117.003, 110.548
54, 92.097, 92.108
55, 32.897, 31.818
56, 12.195, 1.081
57, 3.178, 4.622
58, 5.354, 2.837
59, 2.318, 1.394
60, 6.632, 26.622
61, 3.396, 1.084
62, 14.128, 8.238
63, 12.224, 4.832
64, 5.046, 0.680
65, 0.961, 2.662
66, 11.972, 0.909
67, 0.707, 2.340
68, 96.242, 94.555
69, 96.637, 9.952
70, 48.582, 79.885
71, 10.657, 2.983
72, 7.239, 2.589
73, 1.997, 8.108
74, 45.106, 107.937
75, 90.617, 6.775
76, 8.844, 48.220
77, 48.859, 64.517
78, 158.886, 121.960
79, 9.952, 21.554
80, 31.432, 5.006
81, 20.120, 72.989
82, 35.547, 12.506
83, 50.280, 104.250
84, 0.988, 0.613
85, 1.043, 0.625
86, 0.722, 1.059
87, 0.595, 2.387
88, 9.408, 36.746
89, 88.286, 33.750
90, 31.068, 86.077
91, 1.551, 10.695
92, 3.581, 1.269
93, 35.247, 32.271
94, 15.443, 23.848
95, 5.305, 86.161
96, 33.701, 5.777
97, 3.132, 3.236
98, 7.739, 2.890
99, 2.541, 6.123
100, 7.256, 5.113
101, 35.808, 28.282
102, 1.759, 3.898
103, 37.303, 6.993
104, 46.088, 19.247
105, 5.105, 4.433
106, 36.574, 72.867
107, 40.403, 8.856
108, 8.376, 17.657
109, 5.257, 11.585
110, 4.454, 16.648
111, 3.318, 2.767
112, 24.973, 6.408
113, 11.672, 1.847
114, 3.597, 6.761
115, 9.259, 3.921
116, 55.665, 70.881
117, 41.569, 20.071
118, 31.509, 23.816
119, 56.324, 14.099
120, 0.968, 4.964
121, 62.182, 34.503
122, 4.163, 10.032
123, 1.610, 10.919
124, 13.185, 5.710
125, 4.204, 5.656
126, 84.090, 133.243
127, 139.777, 80.430
128, 1.205, 2.821
129, 64.904, 47.160
130, 39.643, 77.220
131, 15.749, 32.374
132, 38.725, 16.812
133, 96.735, 67.817
134, 111.465, 90.852
135, 25.502, 7.521
136, 27.153, 81.895
137, 79.582, 97.105
138, 51.688, 30.227
139, 29.817, 23.597
140, 78.292, 20.604
141, 39.706, 38.406
142, 20.754, 24.570
143, 87.748, 92.244
144, 36.858, 5.365
145, 7.201, 90.551
146, 8.205, 4.822
147, 9.646, 4.975
148, 3.797, 2.291
149, 3.502, 12.880
150, 2.631, 6.707
151, 2.182, 2.745
152, 22.719, 29.165
153, 14.818, 10.152
154, 51.323, 34.858
155, 13.568, 34.757
156, 9.386, 1.112
157, 0.925, 11.283
158, 42.539, 22.822
159, 38.169, 53.654
160, 5.145, 28.098
161, 17.239, 3.901
162, 2.261, 1.141
163, 2.423, 4.396
164, 2.149, 3.020
165, 2.193, 2.521
166, 3.229, 1.994
167, 3.140, 6.508
168, 1.510, 2.560
169, 3.021, 2.217
170, 1.975, 8.685
171, 1.904, 3.572
172, 4.859, 7.038
173, 16.089, 4.280
174, 2.115, 2.198
175, 4.689, 2.029
176, 2.095, 1.605
177, 7.180, 3.906
178, 137.973, 45.773
179, 64.665, 19.615
180, 27.627, 96.573
181, 78.876, 28.574
182, 62.461, 101.883
183, 36.381, 33.352
184, 42.476, 33.055
185, 20.954, 19.082
186, 82.654, 42.966
187, 62.843, 113.237
188, 134.664, 17.826
189, 67.090, 10.577
190, 17.949, 123.726
191, 70.906, 21.670
192, 49.088, 96.338
193, 15.593, 87.715
194, 40.918, 58.288
195, 22.452, 52.951
196, 17.041, 68.780
197, 65.417, 48.214
198, 28.903, 10.580
199, 101.941, 47.393
200, 38.240, 69.337
201, 47.298, 31.041
202, 46.389, 25.522
203, 13.008, 34.699
204, 77.888, 86.606
205, 29.822, 23.197
206, 23.131, 175.837
207, 121.366, 112.537
208, 14.610, 35.404
209, 8.427, 41.026
210, 47.846, 33.287
211, 1.945, 3.227
212, 11.474, 50.310
213, 89.739, 20.872
214, 3.456, 2.783
215, 7.951, 14.437
216, 96.004, 56.811
217, 3.729, 2.814
218, 12.484, 47.098
219, 20.191, 99.218
220, 39.265, 48.366
221, 2.327, 2.314
222, 28.325, 12.036
223, 9.345, 37.898
224, 23.484, 39.615
225, 10.108, 20.925
226, 70.556, 41.487
227, 7.081, 6.397
228, 28.356, 60.036
229, 27.390, 132.820
230, 26.875, 28.988
231, 6.641, 5.832
232, 80.830, 91.469
233, 40.192, 17.400
234, 106.950, 96.808
235, 23.645, 85.958
236, 31.800, 8.125
237, 43.669, 27.307
238, 0.660, 1.703
239, 5.146, 0.963
240, 0.707, 4.190
241, 7.840, 0.926
242, 24.628, 26.541
243, 35.396, 10.404
244, 13.602, 10.929
245, 9.649, 7.194
246, 1.104, 17.452
247, 4.688, 0.824
248, 66.296, 16.405
249, 24.248, 33.719
250, 18.541, 17.042
251, 49.119, 31.841
252, 23.955, 47.721
253, 72.842, 27.949
254, 9.667, 5.284
255, 14.598, 7.977
256, 14.881, 70.134
257, 12.780, 11.130
258, 0.957, 4.249
259, 58.721, 12.805
260, 51.153, 12.235
261, 25.133, 34.939
262, 60.875, 25.712
263, 29.001, 72.013
264, 46.978, 17.664
265, 40.694, 35.977
266, 3.336, 8.888
267, 22.107, 5.923
268, 8.440, 23.140
269, 8.260, 3.583
270, 2.351, 18.930
271, 2.641, 1.310
272, 14.182, 18.821
273, 41.272, 29.437
274, 76.724, 28.153
275, 64.672, 22.436
276, 18.517, 28.862
277, 31.652, 73.925
278, 21.545, 15.474
279, 5.624, 1.751
280, 5.088, 35.915
281, 3.889, 2.944
282, 3.185, 3.633
283, 8.441, 2.379
284, 4.310, 12.331
285, 10.150, 13.141
286, 39.282, 70.800
287, 2.144, 15.496
288, 1.317, 1.388
289, 1.618, 1.341
290, 3.848, 0.977
291, 2.567, 10.118
292, 1.503, 2.539
293, 4.913, 24.988
294, 39.011, 8.030
295, 4.558, 6.888
296, 19.281, 4.655
297, 8.471, 29.892
298, 13.357, 3.487
299, 18.953, 10.210
300, 7.428, 3.353
301, 0.491, 0.681
302, 0.614, 0.916
303, 0.517, 1.073
304, 10.053, 1.525
305, 1.513, 7.154
306, 68.120, 39.080
307, 30.532, 54.890
308, 4.399, 20.417
309, 10.597, 3.379
310, 8.655, 24.746
311, 24.126, 5.997
312, 5.761, 45.747
313, 40.472, 4.623
314, 7.121, 17.129
315, 14.362, 4.953
316, 6.666, 25.384
317, 18.082, 5.765
318, 5.212, 1.615
319, 1.605, 4.149
320, 14.225, 27.089
321, 6.834, 2.478
322, 8.320, 49.823
323, 15.884, 4.645
