Image_Index, Avg_Start_Offset, Avg_End_Offset
0, 0.758, 1.636
1, 0.599, 0.652
2, 0.367, 0.509
3, 1.388, 0.475
4, 0.830, 1.623
5, 2.109, 1.836
6, 1.998, 0.383
7, 0.785, 3.200
8, 0.348, 2.326
9, 1.741, 1.698
10, 1.740, 0.459
11, 0.662, 2.276
12, 1.018, 1.979
13, 0.560, 2.547
14, 1.657, 1.558
15, 14.872, 25.078
16, 2.293, 1.202
17, 21.110, 26.307
18, 16.852, 15.634
19, 0.429, 1.578
20, 46.067, 3.987
21, 0.407, 1.549
22, 3.357, 35.097
23, 37.744, 23.105
24, 2.065, 0.682
25, 24.427, 8.437
26, 0.995, 0.925
27, 9.345, 2.977
28, 4.339, 30.140
29, 0.729, 1.042
30, 0.533, 0.733
31, 0.995, 0.564
32, 0.750, 0.663
33, 0.967, 1.202
34, 0.456, 0.916
35, 1.830, 4.572
36, 0.783, 1.530
37, 1.900, 0.793
38, 1.053, 0.605
39, 0.430, 1.168
40, 1.429, 0.576
41, 0.444, 1.222
42, 1.297, 1.872
43, 6.766, 8.140
44, 1.958, 1.498
45, 4.232, 5.116
46, 1.474, 1.015
47, 10.523, 4.546
48, 5.188, 1.600
49, 19.482, 9.217
50, 1.785, 0.564
51, 27.727, 11.169
52, 2.910, 0.430
53, 0.566, 2.012
54, 2.922, 0.614
55, 0.430, 2.517
56, 1.385, 1.171
57, 2.829, 0.304
58, 3.178, 0.860
59, 2.395, 1.015
60, 0.298, 3.459
61, 3.368, 0.639
62, 2.434, 0.515
63, 0.240, 3.132
64, 0.507, 0.467
65, 0.578, 0.558
66, 0.851, 0.394
67, 0.344, 0.514
68, 5.214, 7.406
69, 51.911, 1.512
70, 1.179, 1.235
71, 3.471, 3.438
72, 2.672, 1.760
73, 0.871, 1.474
74, 7.712, 75.821
75, 112.419, 2.817
76, 0.584, 1.972
77, 118.618, 134.850
78, 27.621, 23.420
79, 2.218, 0.654
80, 0.697, 1.942
81, 1.852, 0.520
82, 1.904, 0.633
83, 0.572, 1.311
84, 0.493, 0.477
85, 0.613, 0.604
86, 0.431, 0.352
87, 0.538, 2.328
88, 2.396, 0.562
89, 2.827, 0.470
90, 0.417, 2.192
91, 0.690, 1.912
92, 1.536, 1.338
93, 0.665, 2.137
94, 1.630, 0.490
95, 0.437, 3.021
96, 2.675, 0.791
97, 2.127, 0.784
98, 2.161, 1.418
99, 0.726, 2.763
100, 1.860, 1.962
101, 12.285, 21.288
102, 3.193, 16.603
103, 3.212, 4.863
104, 70.961, 32.206
105, 1.874, 0.969
106, 33.535, 77.952
107, 34.109, 4.743
108, 0.873, 1.676
109, 2.706, 9.411
110, 3.266, 36.672
111, 2.188, 1.675
112, 7.022, 5.044
113, 4.027, 2.286
114, 1.592, 1.185
115, 2.303, 2.285
116, 48.491, 61.298
117, 1.657, 1.128
118, 0.606, 1.058
119, 12.214, 4.451
120, 0.632, 1.583
121, 0.473, 1.203
122, 4.468, 1.414
